claim,source_url,source_domain,article_title,risk_score,risk_category,has_factcheck,factcheck_rating,factcheck_source,source_type,checked_at
Darin befinden sich 185 Euro in bar,http://www.wa.de/lokales/bergkamen/diebin-stiehlt-bei-bekannten-geschaedigter-verzeiht-richter-gnadenlos-94158803.html,wa.de,"Diebin stiehlt bei Bekannten: Geschädigter verzeiht, Richter gnadenlos",0,LOW,False,,,unknown,2026-02-07T18:38:39.754221
Der Vorsitzende verurteilt die von Bürgergeld lebende Frau schließlich zu 800 Euro Geldstrafe,http://www.wa.de/lokales/bergkamen/diebin-stiehlt-bei-bekannten-geschaedigter-verzeiht-richter-gnadenlos-94158803.html,wa.de,"Diebin stiehlt bei Bekannten: Geschädigter verzeiht, Richter gnadenlos",0,LOW,False,,,unknown,2026-02-07T18:38:39.859543
"Der Fahrer gab laut Polizei an, von Rum&auml;nien nach Frankreich fahren zu wollen",https://www.nordbayern.de/polizeiberichte/gerade-einmal-vier-wochen-alt-polizei-findet-auf-a3-welpen-unter-fussmatte-versteckt-1.14998978,nordbayern.de,Gerade einmal vier Wochen alt: Polizei findet auf A3 Welpen unter Fu&szlig;matte versteckt,0.1,LOW,False,,,unknown,2026-02-07T18:38:40.371199
"32 Uhr4 LeseminutenHören5:39ZusammenfassungTeilenMerkenDie Dorfmusik spielt den «Berner Marsch», der laut Robert Walser wenig verspricht, aber das wenigstens hält",https://www.nzz.ch/feuilleton/robert-walser-auf-der-buehne-nostalgie-im-musiktheater-ld.1923629,nzz.ch,Robert Walser auf der Bühne: Nostalgie im Musiktheater,0,LOW,False,,,unknown,2026-02-07T18:38:41.422349
"&nbsp; Eishockey im TV--> Shows im TV Tatort im TV UEFA Champions- &Europa-League im TV--> clear Alle TV-Themen im Überblick Sender Sa, 07",https://www.tele.at/sendungsdetails/22033192/grizzy-die-lemminge.html,tele.at,"&quot;Grizzy &amp; die Lemminge&quot; - Serien - Animationsserie, Super RTL, 07.02.2026, 14:05 Uhr -",0.1,LOW,False,,,unknown,2026-02-07T18:38:45.691096
"de Funktionsumfang (30 Prozent) Funktionsumfang (30 Prozent) 4,2 2 1,8 2,2 2,5 2,6 2,6 2,6 2,1 2,6 3,2 Postfachgröße* Postfachgröße* 1 GB (nach Start-Setup) 15 GB 15 GB 2 GB (geteilt mit Cloud-Speicher) 1 GB 1 GB 1 GB (geteilt mit Cloud",https://www.netzwelt.de/email/,netzwelt.de,Kostenlose E-Mail-Adresse: Das sind die besten Freemailer | NETZWELT,0,LOW,False,,,unknown,2026-02-07T18:38:46.382586
"Der Fahrer gab laut Polizei an, von Rumänien nach Frankreich fahren zu wollen",https://www.antenne.de/nachrichten/bayern/polizei-entdeckt-welpe-unter-fussmatte,antenne.de,Polizei entdeckt Welpe unter Fußmatte | ANTENNE BAYERN,0.1,LOW,False,,,unknown,2026-02-07T18:38:50.126694
Immer auf dem Laufenden bleiben,https://www.antenne.de/nachrichten/bayern/polizei-entdeckt-welpe-unter-fussmatte,antenne.de,Polizei entdeckt Welpe unter Fußmatte | ANTENNE BAYERN,0.1,LOW,False,,,unknown,2026-02-07T18:38:50.205208
"Die Versprechen: europäischer Datenschutz, kein Hass, und vor allem: nur echte Menschen, keine Propaganda-Bots",https://www.ndz.de/wirtschaft/wedium-und-w-social-jetzt-kommen-die-europaeischen-social-media-alternativen-RY5VRNGZXFDXFBCUNSZMZRM6SY.html,ndz.de,Wedium und W Social: Jetzt kommen die europäischen Social-Media-Alternativen,0.1,LOW,False,,,unknown,2026-02-07T18:38:50.886206
"Der Fahrer gab laut Polizei an, von Rumänien nach Frankreich fahren zu wollen",https://www.abendzeitung-muenchen.de/bayern/polizei-entdeckt-welpe-unter-fussmatte-art-1110949,abendzeitung-muenchen.de,Polizei entdeckt Welpe unter Fußmatte | Abendzeitung München,0.1,LOW,False,,,unknown,2026-02-07T18:38:51.624389
